ID,Individuals,Adults,Region,OpenFridge,UsedOven,CupsCoffee,CoffeeStrength,StepsDay,SleepNight,Weather,Product1,Product2,Product3,InAppPurchase,SalesVol,AppFaceTime,UserSat,NPS
4261,4.0,2.0,NL,21.0,5.0,13.0,3.0,4580,7.0,Average,4.0,10.0,11.0,99,269.0,2820.0,7,7
2,4.0,2.0,GER,14.0,2.0,11.0,2.0,5750,8.0,Sunny,7.0,15.0,9.0,No,0.0,0.0,5,3
9,,2.0,GER,14.0,2.0,10.0,2.0,4610,8.0,Rainy,4.0,10.0,0.0,No,0.0,0.0,5,3
10,1.0,1.0,UK,12.0,2.0,11.0,2.0,5545,8.0,Average,6.0,11.0,9.0,No,0.0,123.0,4,1
11,3.0,2.0,GER,13.0,2.0,10.0,2.0,4265,8.0,Sunny,4.0,10.0,0.0,No,0.0,300.0,5,2
15,,1.0,UK,13.0,1.0,0.0,0.0,4975,12.0,Average,5.0,10.0,8.0,No,0.0,0.0,5,2
33,1.0,1.0,GER,12.0,2.0,13.0,2.0,3950,7.0,Sunny,3.0,9.0,0.0,No,0.0,0.0,4,1
34,2.0,1.0,GER,14.0,3.0,0.0,0.0,4975,12.0,Sunny,5.0,10.0,9.0,No,0.0,420.0,5,3
35,2.0,2.0,UK,13.0,2.0,0.0,0.0,4040,7.0,Rainy,3.0,9.0,0.0,No,0.0,420.0,5,2
38,2.0,2.0,GER,14.0,2.0,6.0,2.0,6305,9.0,Sunny,8.0,14.0,10.0,No,0.0,0.0,5,3
41,1.0,1.0,NL,13.0,2.0,0.0,0.0,5445,9.0,Sunny,6.0,11.0,9.0,No,0.0,0.0,5,3
43,2.0,2.0,GER,14.0,2.0,0.0,0.0,5220,9.0,Rainy,4.0,10.0,0.0,No,0.0,252.0,5,3
44,2.0,2.0,GER,14.0,2.0,0.0,0.0,5545,9.0,Average,6.0,11.0,9.0,No,0.0,0.0,5,3
54,1.0,1.0,UK,13.0,3.0,0.0,0.0,4940,11.0,Average,5.0,10.0,7.0,No,0.0,0.0,5,2
55,2.0,1.0,UK,13.0,2.0,0.0,0.0,4905,11.0,Sunny,5.0,10.0,8.0,No,0.0,124.0,5,2
58,4.0,2.0,UK,13.0,2.0,12.0,2.0,42280,8.0,Sunny,9.0,10.0,10.0,No,0.0,0.0,5,3
73,1.0,1.0,GER,12.0,2.0,10.0,1.0,4905,8.0,Average,5.0,10.0,7.0,No,0.0,142.0,4,1
75,4.0,2.0,GER,13.0,2.0,10.0,2.0,4465,8.0,Average,4.0,10.0,0.0,No,0.0,0.0,5,2
89,2.0,2.0,GER,13.0,2.0,8.0,2.0,5305,9.0,Rainy,1.0,9.0,0.0,No,0.0,348.0,5,1
92,2.0,2.0,GER,12.0,2.0,0.0,0.0,6010,9.0,Sunny,8.0,11.0,10.0,No,0.0,240.0,4,1
97,4.0,2.0,GER,12.0,2.0,10.0,2.0,4910,8.0,Average,5.0,10.0,7.0,No,0.0,0.0,4,1
98,1.0,1.0,NL,13.0,2.0,9.0,1.0,4800,8.0,Average,5.0,10.0,2.0,No,0.0,133.0,5,2
104,2.0,1.0,NL,12.0,2.0,0.0,0.0,4955,11.0,Average,5.0,10.0,8.0,No,0.0,0.0,4,1
105,2.0,2.0,UK,13.0,2.0,10.0,2.0,4675,8.0,Average,4.0,10.0,0.0,No,0.0,324.0,5,2
106,3.0,2.0,GER,13.0,3.0,0.0,0.0,5175,9.0,Average,6.0,11.0,9.0,No,0.0,0.0,5,2
107,1.0,1.0,GER,13.0,2.0,0.0,0.0,5330,9.0,Average,6.0,11.0,9.0,No,0.0,0.0,5,2
108,3.0,2.0,UK,21.0,5.0,0.0,0.0,5760,9.0,Sunny,7.0,15.0,14.0,No,0.0,1584.0,7,8
110,1.0,1.0,GER,13.0,2.0,11.0,2.0,5130,8.0,Average,5.0,10.0,8.0,No,0.0,0.0,5,2
114,1.0,1.0,GER,12.0,2.0,12.0,3.0,5365,8.0,Sunny,6.0,11.0,9.0,No,0.0,240.0,4,1
116,2.0,2.0,GER,13.0,3.0,11.0,2.0,5790,8.0,Sunny,7.0,16.0,10.0,No,0.0,396.0,5,3
124,3.0,2.0,UK,20.0,5.0,10.0,2.0,5120,8.0,Rainy,2.0,9.0,10.0,No,0.0,1476.0,6,6
130,2.0,1.0,GER,12.0,2.0,12.0,3.0,5520,8.0,Average,6.0,11.0,9.0,No,0.0,360.0,4,1
136,2.0,1.0,UK,5.0,2.0,11.0,2.0,5100,8.0,Rainy,2.0,9.0,0.0,No,0.0,0.0,4,1
137,1.0,1.0,GER,12.0,2.0,11.0,3.0,5925,8.0,Sunny,5.0,11.0,9.0,No,0.0,249.0,4,1
138,3.0,2.0,GER,13.0,2.0,6.0,2.0,5530,9.0,Sunny,6.0,11.0,9.0,No,0.0,227.0,5,3
139,2.0,1.0,GER,13.0,3.0,8.0,3.0,5640,9.0,Average,7.0,11.0,9.0,No,0.0,360.0,5,3
143,2.0,1.0,GER,14.0,2.0,10.0,2.0,4830,8.0,Sunny,5.0,10.0,8.0,No,0.0,170.0,5,3
152,1.0,1.0,NL,14.0,2.0,8.0,3.0,4935,9.0,Average,5.0,10.0,7.0,No,0.0,0.0,5,3
155,4.0,2.0,GER,12.0,2.0,11.0,2.0,5640,8.0,Sunny,6.0,11.0,9.0,No,0.0,135.0,4,1
159,3.0,2.0,UK,12.0,2.0,11.0,2.0,5080,8.0,Average,5.0,10.0,8.0,No,0.0,0.0,4,1
161,,1.0,UK,14.0,2.0,11.0,1.0,5980,8.0,Average,8.0,11.0,10.0,No,0.0,299.0,5,3
164,2.0,2.0,GER,13.0,2.0,10.0,2.0,3545,8.0,Average,3.0,9.0,0.0,No,0.0,0.0,5,1
165,3.0,2.0,UK,14.0,1.0,9.0,1.0,4555,8.0,Sunny,4.0,10.0,2.0,No,0.0,131.0,5,3
168,2.0,2.0,GER,13.0,2.0,8.0,2.0,6510,9.0,Sunny,8.0,13.0,10.0,No,0.0,0.0,5,3
169,2.0,2.0,UK,14.0,2.0,8.0,1.0,5290,9.0,Average,6.0,11.0,9.0,No,0.0,0.0,5,3
178,2.0,1.0,NL,15.0,3.0,10.0,2.0,4855,8.0,Rainy,2.0,9.0,0.0,No,0.0,147.0,5,3
180,4.0,2.0,UK,13.0,2.0,0.0,0.0,4865,11.0,Average,5.0,10.0,2.0,No,0.0,0.0,5,2
181,1.0,1.0,GER,13.0,2.0,12.0,2.0,6030,8.0,Average,8.0,16.0,10.0,No,0.0,147.0,5,3
183,2.0,1.0,UK,14.0,3.0,10.0,2.0,4870,8.0,Average,5.0,10.0,2.0,No,0.0,0.0,5,3
189,4.0,2.0,GER,14.0,2.0,9.0,1.0,4550,8.0,Rainy,2.0,9.0,0.0,No,0.0,0.0,5,3
194,2.0,1.0,NL,14.0,1.0,10.0,2.0,4610,8.0,Rainy,1.0,8.0,0.0,No,0.0,324.0,5,3
197,,1.0,UK,14.0,3.0,10.0,2.0,4665,8.0,Average,4.0,10.0,0.0,No,0.0,131.0,5,3
205,1.0,1.0,UK,13.0,2.0,10.0,2.0,4680,8.0,Average,4.0,10.0,0.0,No,0.0,145.0,5,2
210,4.0,2.0,UK,14.0,2.0,10.0,3.0,4775,8.0,Rainy,3.0,9.0,0.0,No,0.0,0.0,5,3
